08-JUN-17 08.29.12.305000000 AM, 10.42.8.9, maniaruj, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-61, <N/A>, <N/A>, 0.0, �renden
08-JUN-17 12.43.57.868000000 PM, 10.42.8.9, marcukar, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-87, <N/A>, <N/A>, 0.0, Tj�nster
08-JUN-17 03.21.59.651000000 PM, 10.42.8.9, verosalk, /ecommunications_sve/start.swe, HTTP:Click, Click on input, <none>, <N/A>, <N/A>, 0.0, 1
08-JUN-17 09.57.45.240000000 AM, 10.42.8.9, karitimo, <javascript>, HTTP:Click, Click on link, T2 SR #, <N/A>, <N/A>, 0.0, Webbplatskarta
08-JUN-17 12.00.18.688000000 AM, 10.42.253.230, mon_csr, /ecommunications_sve/start.swe, HTTP:Request, GotoView, All Account List View, POST, 200, 0.3265058823529412, <N/A>
08-JUN-17 12.32.26.414000000 AM, 10.42.253.230, mon_csr, /ecommunications_sve/start.swe, HTTP:Request, GotoView, Asset Mgmt - Assets View, POST, 200, 1.289499999999999, <N/A>
08-JUN-17 04.52.48.235000000 PM, 10.42.8.9, danireim, /ecommunications_sve/start.swe, HTTP:Click, Click on input, s_0_1_6_0, <N/A>, <N/A>, 0.0, 
08-JUN-17 02.36.15.232000000 AM, 10.42.8.9, mohanara, /ecommunications_sve/start.swe, HTTP:Click, Click on input, s_10_1_3_0, <N/A>, <N/A>, 0.0, 
08-JUN-17 01.57.40.698000000 AM, 10.42.8.9, paveigna, <javascript>, HTTP:Click, Click on link, s_a_12, <N/A>, <N/A>, 0.0, 
08-JUN-17 06.32.45.897000000 PM, 10.42.8.9, danirynd, <javascript>, HTTP:Click, Click on link, ui-id-16, <N/A>, <N/A>, 0.0, ���Sort
08-JUN-17 01.07.19.157000000 PM, 10.42.8.9, mathmari, /ecommunications_sve/start.swe, HTTP:Click, Click on button, GRPITEM[~^`grpItemId2`^~[LINK, <N/A>, <N/A>, 0.0, Slutf�r
08-JUN-17 12.40.11.022000000 PM, 10.42.8.9, <default>, /ecommunications_sve/start.swe, HTTP:Click, Click on input, Primary_Attribute_Value, <N/A>, <N/A>, 0.0, 
08-JUN-17 11.11.20.912000000 AM, 10.42.8.9, venkshan, /ecommunications_sve/start.swe, HTTP:Click, Click on input, Name, <N/A>, <N/A>, 0.0, Allm�nt
08-JUN-17 06.15.06.020000000 AM, 10.42.8.9, rebeoberg, <javascript>, HTTP:Click, Click on link, Account, <N/A>, <N/A>, 0.0, MICHAEL ANDERSSON
08-JUN-17 03.24.26.498000000 PM, 10.42.8.9, mohanara, <javascript>, HTTP:Click, Click on link, Customer Account, <N/A>, <N/A>, 0.0, Rahel Adam Ghafour
08-JUN-17 06.36.48.083000000 PM, 10.42.8.9, karitimo, /ecommunications_sve/start.swe, HTTP:Click, Click on link, <none>, <N/A>, <N/A>, 0.0, 
08-JUN-17 07.44.28.463000000 AM, 10.42.8.9, kristlin, /ecommunications_sve/start.swe, HTTP:Click, Click on input, Id, <N/A>, <N/A>, 0.0, 
08-JUN-17 03.13.26.554000000 PM, 10.42.8.9, sentveda, <javascript>, HTTP:Click, Click on link, Billing Account, <N/A>, <N/A>, 0.0, 10364461113
08-JUN-17 12.37.44.423000000 AM, 10.42.253.230, mon_csr, /ecommunications_sve/start.swe, HTTP:Request, GetViewLayout, T2 TLES Logs View, GET, 200, 0.18089411764705893, <N/A>
